Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Ajanta Road Carriers (Regd.),"6th Mile Stone, Opp. Mata Mandir, Delhi - U.P. Border, Ghaziabad",Delhi,Delhi,S.N. Gupta,"0120 - 262902*,  261**07",9*12*9*111,"Full Truck Load For : All Over India , Special Services For Banaras, Lucknow, Allahabad, Kanpur",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",Parcel Services
Ajay Goods Transport Cargo Movers,"Opp., CRC Compound, U.P - Border, Chikamberpur, Ghaziabad",Delhi,Delhi,Sanjeev Dubey,0120 - 262*1**,*4477*00*7,"Daily Parcel Services H.P., U.P.",Booking,"HCV, LCV",,,1109 Canter,Parcel Services
Ajay Road Lines,"Plot No. 1242, Main PVC Road, Tikri Kalan, Delhi-41",Delhi,Delhi,Satveer Sharma,,"9*9916***4,  9911*42**4",All Over South India,"Supplier, Booking","HCV, LCV",*j*y87890@gm*il.com,,"1109,  1110,  407 Ton","Industrial Goods,  Parcel Services"
Ajay Tempo Transport Service,"B - 48, Sahjada Bagh Extension, Daya Basti, Delhi",Delhi,Delhi,A.L. Pandey,011 - 2*6*74**,,"All Over Delhi, NCR",Supplier,"HCV, LCV",,,,
Ajit Jodhpur Gujrat Roadlines,"AW-12, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,Pardeep,"011 - 27**16*0 ,  27**1*1*",9*11***4*0,"Full Truck All Over Rajasthan , Jodhpur, Jaipur. Badmer",Booking,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Ajit Jodhpur Roadllne,"G.T. Road, Giani Border, P.O. Chikamberpur, Ghaziaba.",Delhi,Delhi,"Sonu, Ratan Singh","0120 - 410*97*,  262297*","9**02*7*4* ,  9210117*4* ,  9*12127***","Full Truck Available For Punjab, Haryana, Rajasthan, Gujarat, M.P, Bihar",Supplier,"HCV, LCV",,,"10 Wheeler,  6 Wheleers",All Type Material
Ajmer Trailer Transport Delhi,"Flat No. 204, B-28-29, Vishwakarma Colony, Delhi",Delhi,Delhi,"Shabbir Bhai , Shahil Bhai","011 - 26*6**16,  26*6**17","9*11***662 ,  9*11***660,  9*10***660,  9*711***10",Service All Over India,Booking,,*jmertr*ilerdelhi@gm*il.com,,Trailer,Machinery
Ajmer Vapi Truck Transport Co.,"HR-163, B-17, Gali No.7, Pul Parhladpur, New Delhi",Delhi,Delhi,"Gopal Singh Rawat, Satish Sharma",,"99104*1777,  9*119*7117,  99104**777 ,  92144*7117","All Over Gujarat, Rajasthan, Mumbai, M.P.",Supplier,HCV,info@*jmerv*pitrucktr*n*portcomp*ny.com,www.ajmervapitrucktransportcompany.com,Trailer,"Machinery,  Iron"
Akal Transport CO. / Akal Trans (India),"A / 34, Vishwakarma Colony, M.B. Road, Delhi",Delhi,Delhi,"Paramjit Singh, Jaspal","011 - 26*66701,  26*60106 ,  26*60407","9*10120247,  9*10072*09",Open Truck Trailers For Local & All Over India,Supplier,HCV,p2k*tc@v*nl.net,,Trailer,Export- Import Goods
Akash Freight Carrier / Jai Shree Luxmi Roadways,"Shop N. 10, Plot No. A/14, Jain Market, G.T.K. Road, Libaspur, Delhi",Delhi,Delhi,Satish,011 - 27**41*7,"9*1**2*4*1,  921226**10",Truck Available For U.P. Bihar & Jharkhand,Supplier,HCV,,,,
All Bharat Transport Co. (Regd.),"B-198, Basement, Mansarover Garden, Opp., Lamba Crane, New Delhi",Delhi,Delhi,Munish Bakshi,011 - 41421**6,9*1107***6,All Over India,Booking,LCV,muni*hbk*i86@gm*il.com,,"10 Wheeler,  12 Wheeler",All Type Material
All India Carriers (P) Ltd.,"3 A /3, Asaf Ali Road, New Delhi-110 002",Delhi,Delhi,Vishnu,"011 - 2*27*616,  *0*4*17*",9**0**10**,Full Load All Over India,Supplier,"HCV, LCV",*llindi*c*rrier*@gm*il.com,,,
All India Carriying Corp.,"Mehrauli Road, Mahipalpur, Delhi",Delhi,Delhi,M.P. Tiwari,"011 - 267**71* ,  416*7*01",9*10**0994,Full & Part Load Booking All Over India,Booking,LCV,,,"1109,  407 Ton",Parcel Services
All India Road Carriers,"A-18-B. Shalimar Housing Complex, Chabra Colony, Shalimar Garden, Sahibabad, Delhi",Delhi,Delhi,Satish Bhati,,"9*1**422** ,  9*91****6*",Full Load Booking All Over India,Booking,"HCV, LCV",*llindi*ro*dc*rrier*@gm*il.com,,"Tempo,  Tanker",Liquid Cargo Tanker
All India Road lines (Regd.),"A-17, Bharola, Subzi Mandi, Azadpur, Opp. D-Block. Delhi",Delhi,Delhi,Mahadev Bhatt,011 - 2767*7*6,"9212217962 ,  9*91092962","Daily Sevice: U.P Uttranchal, Nepal. Haryana, Punjab Rajasthan, M.P. Maharashtra, H.P.",Supplier,"HCV, LCV",,,1110,"Fruit,  Vegetables"
All India Tempo Transport,"D-31-A, Main Najafgarh Road, Uattam Nagar, Near State Bank, Delhi",Delhi,Delhi,Harkesh Sharma,011 - 64*6*67*,"9*12241*2* ,  9212670470","Tempo , Trucks Available Special For U.P., Uttaranchal, Haryana, Rajasthan, Punjab & All Over India",Supplier,"HCV, LCV",tpt*llindi*@y*hoo.com,,,
All India Transport Co.,"Jyoti Cinema , U.P. Border , P.O. Chikamder Pur, Ghaziaba.",Delhi,Delhi,Anil,,"9*1*02*721 ,  9*12714721 ,  99716**4*4","Delhi, U.P .. Uttranchal, Haryana, Rajasthan. Punjab, Bengai, Bihar","Supplier, Booking",LCV,,,"1109,  407 Ton",Parcel Services
Allahabad Delhi Transport Co.,"Shop No.1, Ambey Market, G.T. Road, UP. Border, Gz.",Delhi,Delhi,Dharm Raj,"0120 - 26279*9 ,  2624*96","9*1066*960 ,  9*1116*960","Truck Supplier For Allahabad, Kanpur, Varanasi, All U.P & M.P",Supplier,"HCV, LCV",,,"10 Wheeler,  12 Wheeler",All Type Material
Allied Transport Company (P) Ltd.,"3968 / 70, Montgomery House, Roshanra Road, Delhi",Delhi,Delhi,Gurbachan Pal Singh,"011 - 2**27406 ,  2**22*6*",9*1*49*0000,Container Booking For Northern And Central India,Booking,HCV,,,Container,
Alwar Bhiwadi Transport Co. (Reqd.),"Shop No. 13, Kharsa No. 897, Main Rohtak Road, Swaran park, Near Om Dharam Kanta, Mundka, Delhi -2",Delhi,Delhi,"Ravi Prakash , Satish",,"9*1212*194,  9*12***711 ,  9212*7*0** ,  92126**676 ,  **6006*042","Service : All Over Rajasthan & Haryana, Local Service.",Supplier,"HCV, LCV",,,"10 Wheeler,  1109 Ton",Local Goods
Alwar Janta Transport Co. (R),"B-68, Oil Market, Near Phatak No-4, Mangolpuri, Industrial Area, Delhi-83",Delhi,Delhi,Suraj & Bittoo,,"9*11220142 ,  9212000092,  96*4*4***0,  921270*001,  9*11220142",All Over NCR,Booking,LCV,,,,
Aman Cargo Movers,"CW-263, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,Upkar Singh,,"9*11*0*6*6 ,  9*10*0*6*6 ,  9*1*617272",Full Truck Available For Delhi To Banglore,Supplier,HCV,,,10 Wheeler,Industrial Goods
Aman Kashmir Roadlines,"332, Sarai Pipal Thalia , Opp., Shimla Mandi, Azadpur, Delhi -33",Delhi,Delhi,Aman,,"9*116721** ,  99**70****",All Over Jammu & Kashmir,Supplier,LCV,,,LPT,Fruit
Aman Road Carriers Regd. / Aligarh Agra Carrier,"38-C, MIG Flat GT B., Enclave Road, Delhi",Delhi,Delhi,Mahipal Singh,011 - 22*76*70,"971*06*470 ,  9*91699*70",Service All Over India,Booking,HCV,*m*nro*dc*rrier@gm*il.com,,"Trailer,  Container,  12 Wheeler",Industrial Goods
Aman Road Transport Pvt. Ltd,"Bhaderpur Border, Delhi",Delhi,Delhi,Virender Chouhan,011 - 4*19*0**,9*110*9*7*,Full Load Booking For All Over India,Booking,HCV,*m*n@y*hoo.com,,"Container,  10 Wheeler",All Type Material
Amar Golden Transport Co.,"PO. Gokalpuri Loni Border, Delhi - 94",Delhi,Delhi,Darshan Singh,011 - 64640*9*,"9*106*7**2 ,  9911060094 ,  91*6*4***4 ,  9*101094**","Daily Service : Gujarat, Rajasthan, Maharashtra, M.P., Jharkhand",Supplier,HCV,*m*rgolden@outlook.com,,"Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Amar Transport Co.,"Shop NO.3, Opp., Kundan Lal Petrol Pump, Loni Road, Delhi - 94",Delhi,Delhi,Kuldeep Singh & Rahul,011 - 6464292*,"9*11*204*2,  9*11*207*2 ,  9*10**07*2,  9*719707*2","Daily Service : Rajasthan, Gujarat, Maharashtra, U. K.",Booking,"HCV, LCV",kuldeep*ingh98115@gm*il.com,,"Trailer,  10 Wheeler,  12 Wheeler",Fruit
Amardeep Trailer Service,"91/3, Flat No. 103, Vishwkarma Colony, New Delhi - 44",Delhi,Delhi,Chiranji,,9*1141046*,"All Over Rajasthan, Gujarat, Maharashtra",Supplier,HCV,,,,
Amarjeet Roadlines & All General Insurance Point,"BS-45, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,Sonu Chhabra,,9*919***67,Full Truck Available For All Over India,Supplier,HCV,chh*br*p*rveenkum*r@gm*il.com,,10 Wheeler,Industrial Goods
Amba Door to Door / Godown Service,"1327, Katra Heera Lal., Asaf Ali Road, Behind PNB Jindal House, Ajmeri Gate, Delhi - 6",Delhi,Delhi,Pankaj Suri,011 - 2*2***69,"9971266110 ,  9*71274441","Special Service For Mathura, Agra All Over India",Booking,"HCV, LCV",,,"10 Wheeler,  12 Wheeler",All Type Material
Amba Road Carriers,"599-B, Hamilton Road, Kashmere Gate, Delhi - 6",Delhi,Delhi,Anil Malhotra,,"9*126*02*9 ,  9**0191*97 ,  9*1007*977 ,  9**06*1161",All Over India,Booking,,*nilm*lhotr*@y*hoo.com,,"1109,  407 Ton",All Type Material
Ambaji Road Carriers,"AG-460, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,"J.M. Sapra , Pawan Sapra",,"9*7*4*4101 ,  9*111*41*6",Full Truck Available Delhi To Hyderabad & Vijaywada,Supplier,HCV,*mb*jiro*dc*rrier*@gm*il.com,,10 Wheeler,
Ambala Bombay Roadways,"BG - 314, Sanjay Gandhi Transport Nagar, Delhi - 43",Delhi,Delhi,Jai Dev Singh,011 - 27**29*7,"9**02*6941,  9*112112*0",Full Truck Available For All Over India,"Supplier, Booking","HCV, LCV",,,12 Wheeler,All Type Material
Ambala Patiala Roadways,"CW-580, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,Raj Mahajan,"011 - 27*****9 ,  27**290*",9*10**41** / 1*6 / 1*7,"Full Truck Available For Bengal, Bihar, Kolkata",Supplier,HCV,,,,
Ambawta Transport,"Main Road, Jonaturpur, Mehrauli, New Delhi - 47",Delhi,Delhi,Ambawta Jaiprakash,,"9*11**1*94 ,  9*99214*2*","Services - U.P., Haryana . Rajasthan. Uttaranchal , Chandigarh, Punjab. Gujarat",Supplier,HCV,,,"Canter,  1109,  407",Industrial Goods
Ambica Transport Coprn.,"13, Khanna Market, Tis Hazari Road, Delhi",Delhi,Delhi,Arvind Drivedi,,"9*10*702** ,  9*116602**","Special Service Bihar, Delhi, Booking All Over India",Booking,HCV,,,,
Ambika Cargo Carriers,"572 / 30, Puja Namkina Gali, Opp., Metro No - 541, Mundka, Delhi - 41",Delhi,Delhi,Rajesh Sharma,011 - *24****6,"9**01*7694 ,  9**0662046",All Over India,Booking,"HCV, LCV",*mbik*c*rgoc*rrier*97@gm*il.com,,"Trailer,  Container",All Type Material
American Transport Corp.,"4297. Naya Bazar, Opp. Pilli Kothi, Delhi",Delhi,Delhi,C. P. SINGH,"011 - 2*9*1*74,  2*962*1*",,Daily Parcel Service For Delhi - Agra - Delhi,Supplier,HCV,,,LPT,Parcel Services
Amit Cargo Movers,"731 / 2, Firni Road, Mundka, Delhi",Delhi,Delhi,Amit,,"9**0272*72,  9**00*94**","Full & Part Load Booking For All Over India, Supplier In Local","Supplier, Booking","HCV, LCV",,,,
New Amit Freight Carrier Regd.,"CW-530, Basement, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,Amit Pal,"011 - 27**2616 ,  27**2**6","9*11*720*0 ,  99**47*9*0","All Over U.P., U.K.","Supplier, Booking","HCV, LCV",,,"10 Wheeler,  12 Wheeler,  6 Wheleers",All Type Material
Amit Road Carrier (I) Pvt. Ltd.,"328, 3rd Floor, Apsara Cinema Complex, Ghaziabad",Delhi,Delhi,Sonu,"0120 - 2*9***7 ,  2*9****","9*10*09797,  9910*09797,  9*10609797",All Over India,Supplier,"HCV, LCV",*unil.*jm143@rediffm*il.com,,Trailer,"Industrial Goods,  Machinery"
Amit Road Carrier / A To Z on Wheels Pvt. Ltd.,"Plot No- 204, Block No-03, Milarband Instention , Baderpur, New Delhi",Delhi,Delhi,Ranbir Verma. Neeraj Verma,"011 - 2699*160 ,  29*9*62* ,  6*2*1090","9*126****9 ,  9*114*0**0","Service For Bihar, Bengal, Assam, Orissa, Booking All Over India","Supplier, Booking","HCV, LCV",*tozonwheel*@y*hoo.com,,"1109,  407 Ton","Industrial Goods,  House Hold Goods,  Medicine"
Amit Roadlines,Off. No.18. Goods Shed. Kishan Ganj. Delhi - 7,Delhi,Delhi,Suresh Kumar,"011 - 2*69**6* ,  2*69*040","9*1****00* ,  9*10072622","Full Load Booking For Delhi. U.P., Haryana, NCR",Supplier,HCV,,,6 Wheleers,Cotton Shet
Amit Roadlines,"K 20, AMAR COLONY MAIN ROHATAK ROAD, NANGLOI, DELHI - 41",Delhi,Delhi,Subhash Hooda,011 - 2*4709*9,"9212*0*2*2 ,  9*12*77672","Available For All Over India, Special Local","Supplier, Booking",,,,"1109,  1110 Ton",Export- Import Goods
Amit Roadways,"39 / A Shyam Enclave, Shahirabad, Ghaziabad",Delhi,Delhi,Satpal Singh,,9*1*02092*,Truck Available For Bihar. Bengal. Assam,Supplier,HCV,,,,
Amit Transport Service,"FC - 2, Market Narela , Delhi -40",Delhi,Delhi,Joginder Khatri,,"9*1*106496 ,  926***094*",All Over Delhi,Supplier,"HCV, LCV",,,"407,  909,  1109 Ton",Parcel Services
Amrit Roadlines,"Near Shani Mandir, .U.P. Border , Ghaziabad",Delhi,Delhi,"Davinder Singh ,Amardeep Singh, Manindtir Singh",0120-26216*6,"991096*249,  9*7171*76*",All Over Uttrakhand & U.P.,Supplier,"HCV, LCV",,,"10 Wheeler,  1109 Ton,  6 Wheeler",Parcel Services
Amrit Sahib Road Carrier Regd. / Bangala Sahib Road Carrier,"AW-467. Sanjay Gandhi Transport nagar, Delhi",Delhi,Delhi,"Amrik Singh, Surender Singh, Gulwant Singh",011- *20*2447,"9971274600,  9*1**92*77,  9*11*220*4","Special For Bihar. Bengal. Jharkhand. Orissa, And All Over India",Supplier,HCV,,,,
Amritsar freight Carriers,"Behind ARC, U.P., Border, P.O. Chikamberpur Ghaziabad",Delhi,Delhi,Kajor Singh Javed,,"9*107***1*,  *010*6*6**","Full Load Truck For Punjab, Himachal. J & K",Booking,"HCV, LCV",,,"10 Wheeler,  12 Wheeler,  6 Wheelers",All Type Material
Amritsar Ludhiana Roadline,"GDA, Plot No-18, U.P. Border, Opp., Police Chowki, Ghaziabad",Delhi,Delhi,"Ram Avatar, Anil Gupta",0120 - 262*779,"9*1*07*107,  9*1107*107","Full Truck For All Punjab, Uttaranchal, Haryana, J & K",Supplier,HCV,,,Trailer,Industrial Goods
Amritsar Maharashtra Transport Corpn. (Regd),"4297, Pul Mlthal , Naya Bazar, Delhi-110006",Delhi,Delhi,Rajender Singh. Vijay Mishra,"2*924242,  2*9***01",,"Daily Parcel Service Maharashtra. Punjab, M.P., Himachal","Supplier, Booking","HCV, LCV",,,,
Amritsar Orissa Roadlines,"Shop No.-8, Shiva Compound, 7th Mile stone, Giani Border, P.O., Chikamberpur, Ghaziabad (U.P.)",Delhi,Delhi,Jitender Singh,,"9*10464747,  9*714*4747","Daily Service : Orissa, Jharkhand, West Bengal",Supplier,HCV,,,"Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Amritsar Road Carrier,"Rawalpindi Garden, P.O. Chikamberpur, Ghaziabad",Delhi,Delhi,Yashpal & Ashok,"0120 - 262964* ,  262*729",9*1*6*7720,"Full Truck For Amritsar, Jalandhar, J & K",Supplier,"HCV, LCV",,,"6 Wheelers,  1109 Ton",All Type Material
Amritsar Roadline,"UP. Border, P.O. Chikamberpur, Telephone Exchange, Ghaziabad",Delhi,Delhi,Vichitra Singh,0120 - 2624164,9*99024164,"Arnritsar, H.P., Punjab, Haryana, Gujarat, Rajasthan, U.P., J & K",Supplier,LCV,,,"10 Wheeler,  6 Wheelers,  1109 Ton","Machinery,  Parcel Services"
Ananad Motor Transport Service/ Anand Roadlines,"CW-615, 1st Floor, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,"Kuldeep Anand, Amit Anand",011 - 47**1977,"9*91261041,  9*11*610**","All Over Kolkata, J & K",Supplier,"HCV, LCV",,,,
Anand Logistics Pvt. Ltd.,"601, Deepali Building , 92-Nehru Place, New Delhi",Delhi,Delhi,"Arvind, Saini",011 - 416199*7,"9*107969*2,  9*1*77199*","Aurangabad, Mumbai, Bangalore, Pathankot, Baroda All Over India",Booking,HCV,*n*ndrd@rediffm*il.com,,"Trailer,  Container",All Type Material
Anand Road Carriers Logistics,"Gali No.1, Plot No - 4, U.P. Border, Ghaziabad",Delhi,Delhi,Suresh Kumar,0120 - 411**7*,"9*6*2199**,  9*1**1****",All Over South India,"Supplier, Booking",HCV,,,Container,All Type Material
Anand Road Carriers Regd.,"C-174, Ground Floor, Harinagar, Clock Tower, New Delhi",Delhi,Delhi,R.D. Verma,"011 - 2*4962*7,  2*126400,  202*472*",9*1**69747,Part Full Load All Over India,"Supplier, Booking",,*rcindi*@hotm*il.co.in,www.anandpackers&movers.in,"10 Wheeler,  8 Wheelers",All Type Material
Anand Road Lines,"601, Deepali Building ,92-Nehru Place, New Delhi",Delhi,Delhi,"Arvind, Saini",011 - 416199*7,"9*107969*2,  9*1*77199*","Aurangabad, Mumbai, Bangalore, Pathankot, Baroda, Sonipet All Over India",Booking,HCV,,,"Trailer,  Container",All Type Material
Anand Roadways (R),"84, New Qutab Road, Teliwada, Delhi-6",Delhi,Delhi,"Anil Anand, Atam Anand","011 - 2**2109* ,  2*6291*7",9*1020769*,"Parcel & Full Load Booking Special For Bihar, All South India",Booking,"HCV, LCV",,,10 Wheeler,All Type Material
Anand Tempo Service,"Krishna Compound, Old Seemapuri Road, U.P. Border, Ghaziabad",Delhi,Delhi,Than Singh,"0120 - 2621472 ,  26299*2",9*1*791171,"M.P Gujarat, Mah., Rajasthan, U.P., A. P., T.N., Karnataka",Supplier,LCV,*t*.gh*zi*b*d@y*hoo.in,,1109,Industrial Goods
Anand Transport Corporation / Rama Transport Corpn.,"6th Mile Stone, Delhi U.P. Border, P.O. Chikamberpur, Ghaziabad",Delhi,Delhi,Shiv Kumar,0120 - 262*190,9*11420190,All Over South India,Supplier,,,,"Trailer,  Container",Electronics Goods
Anand Transport Co.,"6th Mile Stone, Vimal Compound, Ghaziabad",Delhi,Delhi,G.S. Anand,"0120 - 262*19*,  262200*",9*1*690011,"All Over Maharashtra, M.P.",Supplier,HCV,,,,
Anchal Road Carriers,"Plot No.6, Sarika Vihar, Near Goyla Mode, Najafgarh, New Delhi - 43",Delhi,Delhi,Joginder Sharma,,"9*1101*11*,  921224**1*,  9*1009*41*",All Over South India,Booking,"HCV, LCV",,,"Container,  10 Wheeler",House Hold Goods
Andhra Banglore Roadways Pvt. Ltd.,"C-2/22, Rawal Pindi Garden, Behind Yuvraj Company, Delhi - U.P. Border, Ghaziabad",Delhi,Delhi,Sanjay Kumar,,9*119*021*,All Over India,"Supplier, Booking","HCV, LCV",,,Container,All Type Material
Andhra Bombay Road Lines (R),"SW-18, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,Harvansh Rana,,"9212*11**2,  9*990**6**,  9212***6**",All Over India,Supplier,LCV,,,,
Andhra Bombay Roadways,"7796/5, Goenka Road Roshanara Road, Delhi",Delhi,Delhi,Jagtar Singh,011 - 2*921794,"9*9164*041,  9*10*46444,  9*7*1*4**9","Daily Service Special For Delhi To Surat, Gujarat, Hyderabad , Banaglor & All Over India",Supplier,HCV,,,10 Wheeler,All Type Material
Andhra Bombay Roadways,"47, Khanna Market, Tis Hazari, Delhi - 54",Delhi,Delhi,Radhay Shyam,011 - 2*944*69,9*10714,"Full Load Booking For Hyderabad, Vijaywada, A.P., Maharashtra, Bangalore",Booking,"HCV, LCV",,,"Tempo,  Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Andhra Golden Transport Company,"AW-389, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,Murari Lal Sharma,011 - 27****92,"9*10**6172,  9*10**617*","Daily Services For A.P, M.P., Orissa, Chhattisgarh",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Andhra Indore Roadways,"CW-202, Sanjay Gandtii Transport Nagar, Delhi",Delhi,Delhi,D.S. Nagra,"011 - 27**21*1,  6*1**1*1",92121621*1,Full Truck Available For Hyderabad. Indore. All Over A.P.,Supplier,HCV,,,,
Andhra M.P. Goods Carriers,"AG 476, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,Jai Bhagwan,011 - 27***49*,"9*1212*620,  9*111*16*4,  9**0*416*4,  9*1212*620","All Over Vishakhapatnam, Orissa, M.P., C.G.",Supplier,HCV,,,"10 Wheeler,  12 Wheeler","Industrial Goods,  Machinery"
Andhra Maharashtra Roadline,"AW-4, Sanjay Gandhi Transport Nagar, Delhi -42",Delhi,Delhi,Goldy,011 - *299*2**,"9*1079*2** ,  *010*9*2**","Full Truck Avialable All Over Hyderabad , Raipur , Maharashtra",Supplier,HCV,,,,
Andhra Orissa Roadways,"CW-48, Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,"Vikky , Vijay Nagrm","011 - 27**1*1* ,  42*6*2*2",9*1*26*700,"Full Truck Services For Orissa, Vishakhapatnam, A. P.",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Andhra Road Corporation,"4882, Phoota Road, Opp. Westend Cinema, Sadar Bazar, Delhi",Delhi,Delhi,"M.L. Parik, Anand","011 - 2*6*7494 ,  2**4760*",9*1*042999,Parcel Booking For Delhi To Hyderabad,Booking,HCV,,,"10 Wheeler,  12 Wheeler",Parcel Services
Andhra Road Lines (HP),"CW - 556, Sanjay Gandhi Transport Nagar, New Delhi",Delhi,Delhi,Om Dutt Sharma,,"9*12****07,  92127***07",Daily Service For Himachal Pradesh,Supplier,"HCV, LCV",,,,
Andhra Roadlines (Delhi),"CW - 664, Sanjay Gandhi Transport Nagar, New Delhi - 42",Delhi,Delhi,Rajbir Sharma,011 - 27**1270,"996*40*60*,  9*1*662246,  9717**149*","Daliy Serevice :- M.H., A.P., Chennai",Supplier,HCV,,,,
Anil Cargo Pvt. Ltd.,"8445/1, Arya Nagar, Paharganj, Delhi",Delhi,Delhi,M.P. Sharma,2**40116 / 117 / 11* / 119,"9*1012*4*2,  9*1**22677,  9**074299*",All Over India,Booking,HCV,*nilc*rgoc*rrier*@y*hoo.co.in,,,
Anil Golden Transport Service,"6th Mile Stone, Near Telephone Exchange, U.P. Border, P.O. Chikamberpur, Ghaziabad",Delhi,Delhi,Anil Sharma,,"9*10*0*292,  9*1267*797","All Over U.P., Uttaranchal",Supplier,"HCV, LCV",,,,
Anil Mantra Logistics Pvt. Ltd.,"A-88/6, 2nd Floor, Road - 2 , Mahipalpur Extension , New Delhi - 37",Delhi,Delhi,Dhanraj Yadav,011 - 267**766,*7*0042*0*,All Over India Imports,Supplier,LCV,import*@*nilm*ntr*.com,,"Tempo, Canter",All Type Material
Anil Road Carrier,"153/54/55, Transport Centre, Azadpur, Delhi",Delhi,Delhi,"Manohar Lal Chhabra, Gourav",011 - *07114*0,"9*10****9*,  9*111*14*9,  9*9924*9*9","Truck Available For Raipur, Bilaspur, M.P., Chhattisgarh, Orissa, A.P., Vishakhapatnam",Booking,"HCV, LCV",,,"10 Wheeler,  12 Wheeler",Fruit
Anil Roadways,"CW - 48, 2nd Floor, Room No.12, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,Jaivir Sharma,011- *20*0244,"99**72*164 ,  99**729*71",All Over India,Booking,"HCV, LCV",,,"Tempo,  Trailer,  Container,  10 Wheeler,  12 Wheeler",Machinery
Anil Tempo Service,"Near Sonia Hospital, Amar Dharam Kanta, Opp. Pillor No. 437, Ratan Bagh, Delhi",Delhi,Delhi,"Sanjay, Sunil",,"9*112217**,  9212127**","Daily Service : U. P., Haryana, Pubjab, Maharashtra All Over India","Supplier, Booking","HCV, LCV",,,"10 Wheeler,  1109,  407 Ton",Parcel Services
Anil Tempo Service,"70/1/1,Main Marbel Market, Mangolpur kala, Delhi - 85",Delhi,Delhi,"Anil Shokeen, Sunil Shokeen",,"9*10*62602,  9*122*2*92,  9*11**2*92","All Over Delhi, U.P., Haryana, Chandigarh, Punjab & Rajasthan Spl. Local",Supplier,LCV,,,"407,  909 Ton","Tiles,  Marbles"
Anil Tempo Transport Service,"3749, Old Subzi Mandi, Delhi",Delhi,Delhi,Satish Kumar,011 - 2**29412,9*10444906,All Over Haridwar,Booking,LCV,,,,
Anil Transport Service,"CSC Market, Transport Centre, Rohatak Road, Punjabi Bhagh, Delhi",Delhi,Delhi,Gulaanraj Sharma,"011 - *2926226,  2**1*6*0",,All Over India,"Supplier, Booking","HCV, LCV",,,,
Anjani Express,"Shop No.5, Bagga Bhawan, 6th Mile Stone, Near Shani Dev Mandir, Ghaziabad",Delhi,Delhi,Ram Kumar,,"9*112*6*74,  9*121**944","Service Export / Import Delhi To Mumbai , All Over Gujarat",Supplier,HCV,,,Container,Food
Ankit Roadlines,"A-71, Village Gazipur Partparganj, Delhi",Delhi,Delhi,Dalbeer singh,,"9**24226*1,  9**0*****1,  9971*17941",Full Load Service All Over India,Supplier,HCV,,,"Tempo,  1109,  407 Ton",Custom Goods
Ankit Tempo Transport Service,"Hotel Sagar, U.P., Border, Post Office Chikamberpur , Ghaziabad",Delhi,Delhi,Satish Kumar,,"9*10949692 ,  996**7126*","Service - Delhi, U.P., Haryana, All Over India",Supplier,LCV,,,"1109,  407 Ton",All Type Material
Anmol Roadlines,"4721, 1st Floor, Roshahara Road, Delhi",Delhi,Delhi,Rajesh Anand,"011 - 2**24440,  2**26440,  2**2*440,  2**29299","9*106*61**,  99114161**,  9999*1*141",Full Load Booking All Over India,Supplier,"HCV, LCV",,,,
Anmol Transport Co.,"20, New Qutab Road, Delhi-6",Delhi,Delhi,"Manjeet Singh, Saranjeet Singh",011 - 2*6726*0,"9*7**0*4*6,  9211*90047","Full & Part Load For J&K, Baramulla, Sopore",Booking,HCV,,,"10 Wheeler,  6 Wheelers",All Type Material
Anoop Tempo Transport Service,"Shop No.1, DDA Market, Dilshad Garden, New Delhi-95",Delhi,Delhi,"Ashteh Sobtt, Anoop Sobti",,9*11*947**,All Over India,Supplier,LCV,*noop*obti224@gm*il.com,,,
Ansh Roadways Transport Service,"Khasra No. 16/11, Gali No. 7-8, Muradi Road , Swaroop Nagar Extension, Delhi-42",Delhi,Delhi,Sandeep Kumar,,"09711006*17 ,  9212429*17,  9977*0*4*1",Delhi To Bhopal To Delhi,Booking,"HCV, LCV",,,,
